"","X.2","X.1","X","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","name","minute"
"447",447,447,447,"Golden State Warriors","1/6/17",2016,1,10,11,"shot_no","Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",91,234,"Stephen Curry",2
"448",448,448,448,"Golden State Warriors","1/6/17",2016,3,11,0,"shot_no","Jump Shot","2PT Field Goal",16,"Memphis Grizzlies",-38,164,"Stephen Curry",25
"449",449,449,449,"Golden State Warriors","1/25/17",2016,1,1,57,"shot_no","Jump Shot","2PT Field Goal",14,"Charlotte Hornets",127,75,"Stephen Curry",11
"450",450,450,450,"Golden State Warriors","1/25/17",2016,3,1,7,"shot_no","Jump Shot","3PT Field Goal",31,"Charlotte Hornets",125,287,"Stephen Curry",35
"451",451,451,451,"Golden State Warriors","1/25/17",2016,3,11,34,"shot_no","Jump Shot","2PT Field Goal",16,"Charlotte Hornets",74,144,"Stephen Curry",25
"452",452,452,452,"Golden State Warriors","1/25/17",2016,4,0,25,"shot_no","Jump Shot","3PT Field Goal",33,"Charlotte Hornets",181,277,"Stephen Curry",48
"453",453,453,453,"Golden State Warriors","1/25/17",2016,1,1,4,"shot_no","Jump Shot","3PT Field Goal",31,"Charlotte Hornets",-70,303,"Stephen Curry",11
"454",454,454,454,"Golden State Warriors","1/25/17",2016,3,0,0,"shot_no","Jump Shot","3PT Field Goal",67,"Charlotte Hornets",-102,665,"Stephen Curry",36
"455",455,455,455,"Golden State Warriors","1/25/17",2016,1,1,32,"shot_yes","Jump Shot","3PT Field Goal",30,"Charlotte Hornets",145,272,"Stephen Curry",11
"456",456,456,456,"Golden State Warriors","1/25/17",2016,3,6,10,"shot_no","Jump Shot","3PT Field Goal",24,"Charlotte Hornets",78,237,"Stephen Curry",30
"457",457,457,457,"Golden State Warriors","3/14/17",2016,3,10,46,"shot_no","Jump Shot","3PT Field Goal",24,"Philadelphia 76ers",2,249,"Stephen Curry",26
"458",458,458,458,"Golden State Warriors","3/14/17",2016,3,6,28,"shot_no","Jump Shot","2PT Field Goal",2,"Philadelphia 76ers",-10,24,"Stephen Curry",30
"459",459,459,459,"Golden State Warriors","3/14/17",2016,4,10,43,"shot_yes","Jump Shot","3PT Field Goal",26,"Philadelphia 76ers",73,254,"Stephen Curry",38
"460",460,460,460,"Golden State Warriors","3/14/17",2016,2,4,2,"shot_no","Jump Shot","2PT Field Goal",21,"Philadelphia 76ers",140,169,"Stephen Curry",20
"461",461,461,461,"Golden State Warriors","3/14/17",2016,3,0,1,"shot_no","Jump Shot","3PT Field Goal",23,"Philadelphia 76ers",230,31,"Stephen Curry",36
"462",462,462,462,"Golden State Warriors","3/14/17",2016,1,11,49,"shot_no","Jump Shot","3PT Field Goal",25,"Philadelphia 76ers",37,249,"Stephen Curry",1
"463",463,463,463,"Golden State Warriors","3/14/17",2016,4,6,17,"shot_no","Jump Shot","3PT Field Goal",25,"Philadelphia 76ers",176,190,"Stephen Curry",42
"464",464,464,464,"Golden State Warriors","3/14/17",2016,4,3,42,"shot_yes","Jump Shot","3PT Field Goal",22,"Philadelphia 76ers",-227,11,"Stephen Curry",45
"465",465,465,465,"Golden State Warriors","3/14/17",2016,2,3,15,"shot_no","Jump Shot","3PT Field Goal",32,"Philadelphia 76ers",-179,267,"Stephen Curry",21
"466",466,466,466,"Golden State Warriors","3/14/17",2016,2,1,38,"shot_no","Jump Shot","3PT Field Goal",25,"Philadelphia 76ers",-11,257,"Stephen Curry",23
"467",467,467,467,"Golden State Warriors","3/14/17",2016,3,8,17,"shot_no","Jump Shot","2PT Field Goal",5,"Philadelphia 76ers",-11,51,"Stephen Curry",28
"468",468,468,468,"Golden State Warriors","3/14/17",2016,1,7,51,"shot_no","Jump Shot","3PT Field Goal",26,"Philadelphia 76ers",46,264,"Stephen Curry",5
"469",469,469,469,"Golden State Warriors","4/4/17",2016,3,1,39,"shot_no","Jump Shot","3PT Field Goal",22,"Minnesota Timberwolves",-225,16,"Stephen Curry",35
"470",470,470,470,"Golden State Warriors","4/4/17",2016,3,4,29,"shot_yes","Jump Shot","3PT Field Goal",25,"Minnesota Timberwolves",-147,214,"Stephen Curry",32
"471",471,471,471,"Golden State Warriors","4/4/17",2016,1,0,0,"shot_no","Jump Shot","3PT Field Goal",28,"Minnesota Timberwolves",-178,228,"Stephen Curry",12
"472",472,472,472,"Golden State Warriors","4/4/17",2016,2,2,59,"shot_no","Jump Shot","3PT Field Goal",26,"Minnesota Timberwolves",-205,169,"Stephen Curry",22
"473",473,473,473,"Golden State Warriors","4/4/17",2016,1,8,25,"shot_no","Jump Shot","3PT Field Goal",23,"Minnesota Timberwolves",-232,61,"Stephen Curry",4
"474",474,474,474,"Golden State Warriors","4/4/17",2016,3,4,52,"shot_yes","Jump Shot","3PT Field Goal",26,"Minnesota Timberwolves",-2,262,"Stephen Curry",32
"475",475,475,475,"Golden State Warriors","4/4/17",2016,3,1,12,"shot_no","Jump Shot","2PT Field Goal",7,"Minnesota Timberwolves",-20,75,"Stephen Curry",35
"476",476,476,476,"Golden State Warriors","3/28/17",2016,1,10,39,"shot_yes","Jump Shot","3PT Field Goal",25,"Houston Rockets",233,100,"Stephen Curry",2
"477",477,477,477,"Golden State Warriors","11/13/16",2016,3,11,28,"shot_no","Jump Shot","3PT Field Goal",25,"Phoenix Suns",-192,170,"Stephen Curry",25
"478",478,478,478,"Golden State Warriors","11/13/16",2016,3,2,53,"shot_yes","Jump Shot","3PT Field Goal",24,"Phoenix Suns",28,247,"Stephen Curry",34
"479",479,479,479,"Golden State Warriors","11/13/16",2016,3,10,42,"shot_no","Jump Shot","2PT Field Goal",15,"Phoenix Suns",53,146,"Stephen Curry",26
"480",480,480,480,"Golden State Warriors","11/13/16",2016,2,1,38,"shot_yes","Jump Shot","3PT Field Goal",26,"Phoenix Suns",-94,249,"Stephen Curry",23
"481",481,481,481,"Golden State Warriors","2/13/17",2016,3,11,37,"shot_no","Jump Shot","3PT Field Goal",23,"Denver Nuggets",-233,-24,"Stephen Curry",25
"482",482,482,482,"Golden State Warriors","12/11/16",2016,3,5,58,"shot_yes","Jump Shot","3PT Field Goal",25,"Minnesota Timberwolves",0,252,"Stephen Curry",31
