               team_name game_date season
1  Golden State Warriors  12/15/16   2016
2  Golden State Warriors  10/28/16   2016
3  Golden State Warriors   11/1/16   2016
4  Golden State Warriors   12/1/16   2016
5  Golden State Warriors    4/4/17   2016
6  Golden State Warriors  11/19/16   2016
7  Golden State Warriors  11/21/16   2016
8  Golden State Warriors   3/29/17   2016
9  Golden State Warriors  11/25/16   2016
21             Cutting Layup Shot
22             Cutting Layup Shot
23             Cutting Layup Shot
24             Cutting Layup Shot
25             Cutting Layup Shot
26             Cutting Layup Shot
27             Cutting Layup Shot
28             Cutting Layup Shot
29             Cutting Layup Shot
30             Cutting Layup Shot
31             Cutting Layup Shot
32             Cutting Layup Shot
33             Cutting Layup Shot
34             Cutting Layup Shot
35             Cutting Layup Shot
36             Cutting Layup Shot
37              Driving Bank shot
38              Driving Bank shot
39              Driving Bank shot
40              Driving Bank shot
41              Driving Bank shot
42 Driving Finger Roll Layup Shot
43 Driving Finger Roll Layup Shot
44 Driving Finger Roll Layup Shot
45 Driving Finger Roll Layup Shot
46 Driving Finger Roll Layup Shot
47 Driving Finger Roll Layup Shot
48 Driving Finger Roll Layup Shot
49 Driving Finger Roll Layup Shot
50 Driving Finger Roll Layup Shot
51 Driving Finger Roll Layup Shot
52 Driving Finger Roll Layup Shot
53 Driving Finger Roll Layup Shot
54 Driving Finger Roll Layup Shot
55 Driving Finger Roll Layup Shot
56 Driving Finger Roll Layup Shot
57 Driving Finger Roll Layup Shot
58 Driving Finger Roll Layup Shot
59 Driving Finger Roll Layup Shot
60 Driving Finger Roll Layup Shot
61 Driving Finger Roll Layup Shot
62 Driving Finger Roll Layup Shot
63 Driving Finger Roll Layup Shot
64 Driving Finger Roll Layup Shot
65 Driving Finger Roll Layup Shot
66 Driving Finger Roll Layup Shot
        shot_type shot_distance
1  2PT Field Goal             3
2  2PT Field Goal             2
3  2PT Field Goal             2
4  2PT Field Goal             0
5  2PT Field Goal             2
6  2PT Field Goal             0
7  2PT Field Goal             0
8  2PT Field Goal             2
